105,DC02-B03-01,Online,N2K-B22HP-P,FOC1649R05U,bds-dc02-acc-a
106,DC02-B03-02,Online,N2K-B22HP-P,FOC1649R05S,bds-dc02-acc-a
107,DC02-B04-01,Online,N2K-B22HP-P,FOC1824R1NJ,bds-dc02-acc-a
108,DC02-B04-02,Online,N2K-B22HP-P,FOC1651R0W6,bds-dc02-acc-a
109,DC02-B05-01,Online,N2K-B22HP-P,FOC1849R1X8,bds-dc02-acc-a
110,DC02-B05-02,Online,N2K-B22HP-P,FOC1904R217,bds-dc02-acc-a
103,DC02-B02-01,Online,N2K-B22HP-P,FOC2014R0H4,bds-dc02-acc-b
105,DC02-B03-01,Online,N2K-B22HP-P,FOC1649R00E,bds-dc02-acc-b
106,DC02-B03-02,Online,N2K-B22HP-P,FOC1651R0ZP,bds-dc02-acc-b
107,DC02-B04-01,Online,N2K-B22HP-P,FOC1824R1NN,bds-dc02-acc-b
108,DC02-B04-02,Online,N2K-B22HP-P,FOC1651R10N,bds-dc02-acc-b
109,DC02-B05-01,Online,N2K-B22HP-P,FOC1850R1FR,bds-dc02-acc-b
110,DC02-B05-02,Online,N2K-B22HP-P,FOC1904R20U,bds-dc02-acc-b
111,DC02-B06-01,Online,N2K-B22HP-P,FOC1849R1VU,bds-dc02-acc-c
112,DC02-B06-02,Online,N2K-B22HP-P,FOC1651R10P,bds-dc02-acc-c
113,DC02-B07-01,Online,N2K-B22HP-P,FOC1904R29D,bds-dc02-acc-c
114,DC02-B07-02,Online,N2K-B22HP-P,FOC1651R0X1,bds-dc02-acc-c
115,DC02-B08-01,Online,N2K-B22HP-P,FOC1649R05V,bds-dc02-acc-c
116,DC02-B08-02,Online,N2K-B22HP-P,FOC1851R00K,bds-dc02-acc-c
111,DC02-B06-01,Online,N2K-B22HP-P,FOC1849R1W8,bds-dc02-acc-d
112,DC02-B06-02,Online,N2K-B22HP-P,FOC1651R0T6,bds-dc02-acc-d
113,DC02-B07-01,Online,N2K-B22HP-P,FOC1904R2A9,bds-dc02-acc-d
114,DC02-B07-02,Online,N2K-B22HP-P,FOC1651R101,bds-dc02-acc-d
115,DC02-B08-01,Online,N2K-B22HP-P,FOC1651R0WZ,bds-dc02-acc-d
116,DC02-B08-02,Online,N2K-B22HP-P,FOC1851R01B,bds-dc02-acc-d
101,N2K,in,Rack,B-D2-B02,bds-dc02-oob-a
102,N2K,in,Rack,B-D2-B04,bds-dc02-oob-a
103,N2K,in,Rack,B-D2-B07,bds-dc02-oob-a
104,N2K,in,Rack,B-D2-B09,bds-dc02-oob-a
105,N2K,in,Rack,B-D2-D01,bds-dc02-oob-a
106,N2K,in,Rack,B-D2-D02,bds-dc02-oob-a
107,N2K,in,Rack,B-D2-A02,bds-dc02-oob-a
108,N2K,in,Rack,B-D2-A04,bds-dc02-oob-a
109,N2K,in,Rack,B-D2-C04,bds-dc02-oob-a
110,N2K,in,Rack,B-D2-C10,bds-dc02-oob-a
111,N2K,in,Rack,B-D2-D13,bds-dc02-oob-a
112,N2K,in,Rack,B-D2-D15,bds-dc02-oob-a
150,N2K,in,Rack,B-D1-C06,bds-dc02-oob-a
151,N2K,in,Rack,B-D1-C08,bds-dc02-oob-a
152,BD1D06-01,Online,N2K-C2248TP-E-1GE,FOX2124PCM4,bds-dc02-oob-a
153,BD1D06-02,Online,N2K-C2248TP-E-1GE,FOX2124PCLS,bds-dc02-oob-a
160,BD1C02-01,Online,N2K-C2248TP-E-1GE,FOX2124PCS5,bds-dc02-oob-a
101,N2K,in,Rack,B-D2-B02,bds-dc02-oob-b
102,N2K,in,Rack,B-D2-B04,bds-dc02-oob-b
103,N2K,in,Rack,B-D2-B07,bds-dc02-oob-b
104,N2K,in,Rack,B-D2-B09,bds-dc02-oob-b
105,N2K,in,Rack,B-D2-D01,bds-dc02-oob-b
106,N2K,in,Rack,B-D2-D02,bds-dc02-oob-b
107,N2K,in,Rack,B-D2-A02,bds-dc02-oob-b
108,N2K,in,Rack,B-D2-A04,bds-dc02-oob-b
109,N2K,in,Rack,B-D2-C04,bds-dc02-oob-b
110,N2K,in,Rack,B-D2-C10,bds-dc02-oob-b
111,N2K,in,Rack,B-D2-D13,bds-dc02-oob-b
112,N2K,in,Rack,B-D2-D15,bds-dc02-oob-b
150,N2K,in,Rack,B-D1-C06,bds-dc02-oob-b
151,N2K,in,Rack,B-D1-C08,bds-dc02-oob-b
152,BD1D06-01,Online,N2K-C2248TP-E-1GE,FOX2124PCM4,bds-dc02-oob-b
153,BD1D06-02,Online,N2K-C2248TP-E-1GE,FOX2124PCLS,bds-dc02-oob-b
160,BD1C02-01,Online,N2K-C2248TP-E-1GE,FOX2124PCS5,bds-dc02-oob-b
111,BD1D06-03,Online,N2K-C2248TP-E-1GE,FOX2106P0QS,bds-dc01-acc-a
113,BD1B11-01,Online,N2K-C2232PP-10GE,SSI224800KC,bds-dc01-acc-a
112,BD1D06-04,Online,N2K-C2248TP-E-1GE,FOX2106PABR,bds-dc01-acc-b
114,BD1B11-02,Online,N2K-C2232PP-10GE,SSI224800KN,bds-dc01-acc-b
102,DC01-C05-DataDomain,Online,N2K-C2232PP-10GE,SSI170800MD,bds-dc01-acc-c
104,DC01-D06-2-UMOJA,Online,N2K-C2248TP-E-1GE,FOX2124PD5K,bds-dc01-acc-c
106,DC01-D06-8-UMOJA,Online,N2K-C2232PP-10GE,SSI211004GN,bds-dc01-acc-c
108,DC01-D06-6-UMOJA,Online,N2K-C2232PP-10GE,SSI2111005T,bds-dc01-acc-c
103,DC01-C08DataDomain,Online,N2K-C2232PP-10GE,SSI170801NL,bds-dc01-acc-d
105,DC01-D06-1-UMOJA,Online,N2K-C2248TP-E-1GE,FOX2124PNBU,bds-dc01-acc-d
107,DC01-D06-7-UMOJA,Online,N2K-C2232PP-10GE,SSI211004GT,bds-dc01-acc-d
109,DC01-D06-5-UMOJA,Online,N2K-C2232PP-10GE,SSI211004KF,bds-dc01-acc-d
